fund,period,period_original,year,quarter,return_quarterly,dnb_reporter,source_return_post,used_ter_year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,return_after_ter,ter_missing_policy_applied,rf,equity,duration,credit,real_estate,fx,excess_return_after_ter
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2024Q3,2024K3,2024,3,0.054,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2024,0.0021,0.0003,0.0024,0.0005994607547548103,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.05340053924524519,exact,0.0094659177314309,0.0028777674479716,0.0473275286032934,0.0228626283842732,0.1370954218376332,-0.0430819918427396,0.04393462151381429
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2024Q4,2024K4,2024,4,0.022,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2024,0.0021,0.0003,0.0024,0.0005994607547548103,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.02140053924524519,exact,0.0082911180628952,0.0725993086598819,-0.0133773398176884,0.000257321485737,-0.1007794528202434,0.0683684599228168,0.013109421182349989
Vopak,2015Q1,2015K1,2015,1,0.093,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0038,0.0024,0.0062,0.0015464092282639896,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.09145359077173601,exact,0.0,0.1511712335541488,0.1418828219126287,0.0122918538476994,0.2002237762098073,0.1095047031222968,0.09145359077173601
Vopak,2015Q2,2015K2,2015,2,-0.068,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0038,0.0024,0.0062,0.0015464092282639896,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.069546409228264,exact,-0.0004938854642255,-0.0359065794351126,-0.1525830981809418,-0.0299841489815314,-0.1093679919562758,-0.0362614747339837,-0.06905252376403849
Vopak,2015Q3,2015K3,2015,3,-0.018,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0038,0.0024,0.0062,0.0015464092282639896,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.01954640922826399,exact,-0.0005657028882973,-0.0854783388536183,0.0625972599826122,-0.0037535881492603,0.0386244070160811,-0.002937806514988,-0.018980706339966687
Vopak,2015Q4,2015K4,2015,4,0.018,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0038,0.0024,0.0062,0.0015464092282639896,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.01645359077173601,exact,-0.0008885589426071,0.0931675525851799,0.0017238862912901,0.0163127662785816,0.0592580891397488,0.0286032917238789,0.01734214971434311
Vopak,2016Q1,2016K1,2016,1,0.043,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0034,0.0003,0.0036999999999999,0.0009237193255589027,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.042076280674441094,exact,-0.0010542623375449,-0.0533406838777802,0.0912258815376816,0.0267757758256841,0.0319303460850708,-0.0366448730103767,0.043130543011985996
Vopak,2016Q2,2016K2,2016,2,0.046,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0034,0.0003,0.0036999999999999,0.0009237193255589027,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.0450762806744411,exact,-0.0011485994043496,0.0324116251350308,0.0608969793770322,0.0168683635620507,0.0173948391974843,0.0182277441004068,0.0462248800787907
Vopak,2016Q3,2016K3,2016,3,0.015,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0034,0.0003,0.0036999999999999,0.0009237193255589027,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.014076280674441097,exact,-0.0012650767315374,0.0441106743180912,0.0124921488257012,0.0180068606882921,0.0480702367334542,-0.0082239899045355,0.015341357405978497
Vopak,2016Q4,2016K4,2016,4,-0.021,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0034,0.0003,0.0036999999999999,0.0009237193255589027,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.021923719325558904,exact,-0.0013097254056969,0.0873561840803528,-0.0853095328074178,-0.0103111010982954,-0.0476456716100371,0.0574238005961756,-0.020613993919862003
Vopak,2017Q1,2017K1,2017,1,0.01,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.0038,0.0006,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.008901810355545594,exact,-0.0011890622110223,0.0502017063490404,-0.0341803585921353,0.0011575237041764,0.0143097241924522,-0.0105694808888356,0.010090872566567894
Vopak,2017Q2,2017K2,2017,2,0.005,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.0038,0.0006,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.003901810355545594,exact,-0.0013779554430616,-0.0260658885189492,0.0081322326762748,0.0057927894244863,0.0588909487629111,-0.070606402745978,0.005279765798607194
Vopak,2017Q3,2017K3,2017,3,0.0139999999999999,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.0038,0.0006,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.012901810355545494,exact,-0.0012426097406184,0.0138358253977797,0.0083875237472241,0.0119008836173597,0.0206320374274355,-0.0297253059247026,0.014144420096163894
Vopak,2017Q4,2017K4,2017,4,0.026,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.0038,0.0006,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.024901810355545593,exact,-0.0013816839568479,0.0419160508488587,0.0139628026516911,0.0081472703093798,0.0533491575583295,-0.0135777171319724,0.026283494312393494
Vopak,2018Q1,2018K1,2018,1,-0.011,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2018,0.004,0.0009,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.012222755474834746,exact,-0.0012313979168253,-0.0377239390540078,0.0428080034630574,-0.0046342906831743,-0.0297150538580298,-0.0302404485615293,-0.010991357558009446
Vopak,2018Q2,2018K2,2018,2,0.016,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2018,0.004,0.0009,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.014777244525165253,exact,-0.0011603200424952,0.0791198382133522,-0.0154059501857799,-0.0014615472766276,0.0579559907061362,0.0601389910600156,0.015937564567660455
Vopak,2018Q3,2018K3,2018,3,0.008,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2018,0.004,0.0009,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.006777244525165253,exact,-0.0011255493271244,0.0528293876599212,-0.0178241920360959,0.0017844569160565,-0.0035315047570866,-0.0064354441608049,0.007902793852289654
Vopak,2018Q4,2018K4,2018,4,-0.034,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2018,0.004,0.0009,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.03522275547483475,exact,-0.0012284186530631,-0.1191372374307147,0.0258922435835675,-0.006231697168275,-0.0788592622069979,0.016965438216883,-0.03399433682177165
Vopak,2019Q1,2019K1,2019,1,0.074,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2019,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.07290181035554559,exact,-0.0011863961243726,0.1451817938197844,0.0524060336202131,0.0341076001588142,0.1274382996412325,0.0183498771742512,0.07408820647991819
Vopak,2019Q2,2019K2,2019,2,0.042,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2019,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.0409018103555456,exact,-0.000990894048387,0.0265283805436963,0.0785312886288746,0.0220354556418428,-0.0366021732998956,-0.012726387031076,0.0418927044039326
