fund,alpha_quarterly,alpha_annualized,alpha_quarterly_ci_low,alpha_quarterly_ci_high,alpha_annualized_ci_low,alpha_annualized_ci_high,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
Honeywell,0.000969325931204904,0.003882944925354348,-0.004536429634770142,0.00647508149717995,-0.01802261637684921,0.026152973743626795,0.34506506721496777,0.7300454546732326,0.9034877088688744,40,0.32043898114274527,0.4739946129418114,0.1750745961194212,0.006924653775099411,-0.05678210492317998,1.0
Kring RBS (Achmea),0.0009391490436625625,0.003761891494306724,-0.0032263695579883463,0.005104667645313471,-0.012843155699514552,0.020575549113067915,0.4418893486550122,0.6585692786550204,0.9281341926686452,32,0.2206565800726058,0.5207175421662869,0.054467754160493265,0.08233794775171616,-0.025876277532311726,1.0
PostNL,0.0008794607004617878,0.0035224862300671234,-0.0035285555439076377,0.005287476944831213,-0.014039693527257535,0.02131824433228946,0.3910401421331542,0.6957675643641557,0.9471479673350164,40,0.2111835105808907,0.22673798203406853,0.45117740906658227,0.06904424165921688,-0.022224968099138515,1.0
"Mode-, Interieur-, Tapijt- en Textielindustrie",0.0008789327411902043,0.00352036881792106,-0.0027888122701739855,0.004546677752554394,-0.011108670936595733,0.018311121069831016,0.46968273754808504,0.6385817028269232,0.9547865042280513,40,0.1661597986060259,0.25369530271512797,0.5056881240192332,0.07191194398327716,0.0643598855147425,1.0
IKEA,0.0008615550448457495,0.003450676400555741,-0.00629833099458276,0.008021441084274258,-0.024956307958096335,0.03247389409052137,0.2358440971403007,0.8135536485916792,0.9077952642375547,40,0.30637689866315876,0.6918074296890522,0.3897020714532527,-0.004058297368115249,-0.009891629304071753,1.0
Kring Forward (Unilever),0.0008332955904326989,0.0033373509659593292,-0.004407107857588538,0.0060736990384539355,-0.01751223784507283,0.024517032665390515,0.3116609936475087,0.7552981749530122,0.9181029526461079,29,0.2459435077432471,0.3571699819840515,0.451159165371188,0.04090877747620586,0.0899300269891081,1.0
Medische Specialisten,0.0006863478250146858,0.0027482190335830214,-0.004557492602188238,0.005930188252217609,-0.018105724194369177,0.023932591232706857,0.25653279053224837,0.7975394641472792,0.9434406053908733,40,0.23149223079881842,0.5848136195718762,0.5023546422684937,0.0271156551168083,-0.007874061756092926,1.0
Kring ES Nederland (Achmea),0.0006353088911399165,0.002543658294732465,-0.004928443628346376,0.006199061410626209,-0.019568515422657806,0.025027770172593167,0.2238026478228912,0.8229108695619607,0.9790488419297644,13,0.23196798896812865,0.42469094057106205,0.9530760426059253,-0.058036868742510204,-0.2610027419707142,1.0
AHOLD,0.0006144980619348286,0.002460258823248296,-0.004469033388375885,0.005698029512245542,-0.017756656624830836,0.022987664349069625,0.23692074726680662,0.812718274162898,0.9508244988113499,40,0.19678653602504714,0.5344608020814055,0.47158827404629966,0.03009501796782687,0.02066380298666326,1.0
Beroepsvervoer over de Weg,0.0005914655270933605,0.0023679619249672434,-0.00504512696552491,0.006228058019711631,-0.020028301038283236,0.025145932136854787,0.20566523705911882,0.8370524148271525,0.9372505259986221,40,0.22754920411306598,0.6379858655730353,0.5199063841767148,-0.00041859573900866753,-0.014553700805782221,1.0
ING Bank CDC fonds,0.0005743069619810635,0.0022992075766434805,-0.003228164466550907,0.004376778390513034,-0.012850266046066317,0.01762238643306757,0.29602351594475224,0.7672121226749902,0.9608951133720471,40,0.2185671917934946,0.7025470153014126,0.16203388336464025,0.027724482087003385,-0.016877046983004323,1.0
Achmea,0.0005236475759261314,0.002096236118832806,-0.0038101562495108875,0.00485745140136315,-0.015153742296000305,0.019571833609908218,0.2368197617490049,0.8127966199350796,0.9507369294272138,40,0.24805006802727914,0.5273208477869371,0.1817481843939303,0.0001869303229213408,-0.09625029552455329,1.0
Hoogovens,0.00044787765209456883,0.0017927145341332107,-0.002684154863697011,0.003579910167886148,-0.010693468632872793,0.014396718893681548,0.28027297391063544,0.7792680838749876,0.9571658290234768,40,0.31527542434204825,0.11317049155145854,0.4525423956371458,0.03685714487797537,-0.11973358540272062,1.0
Pensioenkring Sweco (Hnp),0.00041133766757697494,0.0016463661407881691,-0.003673440962599879,0.004496116297753829,-0.01461299693739826,0.018106119527316666,0.1973685937298087,0.8435391047738382,0.9546102802596437,18,0.10896409278810015,0.435060274415749,0.22752835294175436,0.03620620730027378,-0.07746791308823495,1.0
Ecolab,0.0003663457481115338,0.0014661884443751827,-0.004700299056424254,0.005432990552647321,-0.01866905424156451,0.021909708870661015,0.14171596784230767,0.8873043617284553,0.9297919188637588,40,0.30272603518080565,0.443898819599849,0.2648529682490288,-0.0047005271267644075,-0.054497387838363,1.0
Koopvaardij,0.0003224727330828599,0.0012905149984576703,-0.0030892421955605806,0.0037341876617263004,-0.012299826114818835,0.015020624066706123,0.1852543240152576,0.8530295620092287,0.9509930403493083,40,0.08369934103726123,0.4626250512842178,0.40640564079592134,0.02573471844245672,0.1105745965777552,1.0
Pensioenkring Ballast Nedam (Stap),0.0002672912148857531,0.0010695936034956777,-0.0029468789159342477,0.003481461345705754,-0.011735513380162321,0.01399873775756788,0.16299110913160642,0.8705254349471154,0.9818335788687658,24,0.24852409539182352,0.3347339277268645,0.42128205375018557,0.003668663357756104,-0.17205119125308374,1.0
Media PNO,0.0002367273785781615,0.0009472458064909706,-0.0029826694025357403,0.003456124159692063,-0.011877405769496918,0.013896330677456659,0.14411927690604218,0.8854062828605538,0.9569566669501386,40,0.33976257231520757,0.24502581054549205,0.21208681242521765,0.01236341051714335,-0.14302326337402765,1.0
Dierenartsen,0.00023437179789678568,0.0009378168239242424,-0.0039903598849148425,0.004459103480708414,-0.015866155607606403,0.017956070593490026,0.10873123250371454,0.9134156687548228,0.9547395791223707,40,0.20954566366594263,0.47580065749424383,0.3770332387006995,0.007039305137707466,0.04349073674195557,1.0
Mediahuis Nederland,0.00016152013078403796,0.0006462370725082156,-0.003101499339190875,0.0034245396007589503,-0.012348400812314142,0.013768684014194843,0.09701861788687018,0.9227116092601789,0.9656582181786565,40,0.24156808576436348,0.39196486281186826,0.3939544325756323,0.02641554161954765,0.018010906749107297,1.0
Gasunie,0.00016053114477432068,0.0006422792171363323,-0.004186898888694272,0.004507961178242913,-0.0166427081010454,0.018154141847841476,0.07237270289169494,0.9423053077511646,0.9597647767668339,40,0.457392905234239,0.29284724974778964,-0.12121374894605863,0.11253420751385165,-0.19345078433040142,1.0
Rijn- en Binnenvaart,0.00013692877601141802,0.000547827611253382,-0.0061776994857286275,0.0064515570377514635,-0.02448275572298464,0.026057039534721493,0.042500596758102506,0.9660996360375653,0.9362348400920975,40,0.29484290364193644,0.4921253143558252,0.26235576359570256,0.06456716181859631,-0.05698771164201635,1.0
MSD,0.0001291755084484895,0.0005168021602879325,-0.006172333790652635,0.006430684807549614,-0.02446168809162952,0.02597192691351613,0.04017757210638467,0.9679515580560484,0.9411523483679245,40,0.33510771764887015,0.5572855160234857,0.31729129852107196,0.04200981551055811,0.01627062264420545,1.0
Bouwnijverheid,0.0001158797507090129,0.00046359957776020977,-0.005306449409512538,0.005538208910930565,-0.021057444097753453,0.02233754659853826,0.04188608459871978,0.9665895095446158,0.9074816179755599,40,0.21465859344547633,0.3985304593157807,0.12806927771262275,0.08435523702719862,0.02665910792548476,1.0
Heineken,0.00010655290043298554,0.0004262797276943786,-0.004605859904781106,0.004818965705647077,-0.018296546330161534,0.019415645577086638,0.044316967958719845,0.9646517464869253,0.8998288481108347,40,0.33194122409453847,0.15340708782210605,-0.085924966547357,0.09390178324338307,0.06614917023339989,1.0
Robeco,6.269316178999802e-05,0.0002507962307407574,-0.0057725094148297915,0.0058978957384097875,-0.02289087476242302,0.023801115845815346,0.02105776750196708,0.9831995740686599,0.9254057282205338,40,0.275798309725411,0.3889678241897715,0.42958967005759596,0.051281674394319174,-0.06663227678149364,1.0
Thales,5.9466740231107085e-05,0.0002378881795250809,-0.004845908056528273,0.004964841536990488,-0.01924318990775753,0.020007754190946248,0.023760196510971342,0.9810438896613756,0.9548673391291144,40,0.3010569258947297,0.46077900044993314,0.4386519982769898,0.07621684527776326,-0.07396197279142602,1.0
Kring Bavaria (Achmea),5.4453699383089516e-05,0.00021783258941088235,-0.003884197532756735,0.003993104931522913,-0.01544650236397338,0.016068343980723654,0.02709742074772198,0.9783820319518439,0.9429759049971849,31,0.13958170100106737,0.43063136770220517,0.4916243757993278,0.028827876792867926,0.06950330765241422,1.0
Cap Gemini Nederland,3.369600888205454e-05,0.00013479084820722242,-0.00565943036161875,0.005726822379382859,-0.022446270575521954,0.023104820839327855,0.01160047389317991,0.9907443685730216,0.9400205514284774,40,0.21848018145738746,0.6189137438151779,0.437427537760139,0.005366838614502004,-0.029546216436808853,1.0
Trespa,2.1782261430713587e-05,8.713189256592813e-05,-0.006273989342295497,0.0063175538651569245,-0.024860766016858382,0.025510694546461377,0.006781130351165633,0.9945894822540085,0.9053595409488634,40,0.10249389169315008,0.7229509980379676,0.412965078303488,-0.012608811149765545,0.1321853140839342,1.0
Metro,5.194451326649696e-06,2.0777967201013325e-05,-0.0037097286648333644,0.0037201175674866638,-0.014756546163769202,0.014963712044683275,0.0027405513388399235,0.9978133591358244,0.9687803065128553,36,0.33937259010752663,0.511291356037892,0.05023557853345162,0.04624160448131242,-0.08381633411167053,1.0
Fysiotherapeuten,-9.921521840155676e-05,-0.0003968018155551256,-0.004589425498927168,0.004390995062124054,-0.01823171125869516,0.01768000429431238,-0.04330715994052825,0.9654566837716781,0.9418183120996837,40,0.19721229046062264,0.3861045729672671,0.343843542723895,0.04270231440343164,0.012647565163174612,1.0
ING,-0.00011696627436175882,-0.0004677830171917474,-0.006296138093352208,0.0060622055446286904,-0.024947701022406732,0.024470216697858094,-0.03710039012838661,0.9704049609665559,0.9181760354676433,39,0.15074636896071777,0.6022470705130445,-0.06774110310683945,0.06329218915104179,0.05737625439848727,1.0
NN CDC fonds,-0.00019282674042140052,-0.0007710838974522849,-0.004362252044400274,0.003976598563557473,-0.017335164399510883,0.016001526054264303,-0.09064401900222023,0.9277754537730777,0.9618866422479349,40,0.24532540897143323,0.7692643584123544,0.0633518918301707,0.013864405012450613,-0.045025321752851136,1.0
Horecabedrijf,-0.00022920733872600595,-0.0009165141870430826,-0.006658035745284978,0.0061996210678329665,-0.02636734496411175,0.02503005069412967,-0.06987869336143923,0.9442902119006356,0.9479530322397043,40,0.3214398584445594,0.6740530739431185,0.19500413012818651,0.08677511850822935,0.015396444148110255,1.0
DHL Nederland,-0.0002602009861707448,-0.001040397787826386,-0.005894172837284039,0.005373770864942548,-0.023369061585846063,0.021668969495937995,-0.09051954378076804,0.927874364014717,0.9276394227337387,40,0.2895856716618457,0.3164747310172471,0.20930433931319378,0.04624762882993359,-0.017818933788416785,1.0
Bouwmaterialen,-0.0002703064781388628,-0.00108078759799779,-0.00639547290938732,0.0058548599531095934,-0.02533752387457955,0.023625920101933318,-0.08649413332464345,0.9310736195246554,0.9423113637843256,40,0.20204667007165714,0.5958157953814146,0.3137601240327838,0.03848544175180017,0.07096555184476709,1.0
Zoetwarenindustrie,-0.0002755968899741494,-0.0011019319217465684,-0.005537909135054518,0.004986715355106219,-0.02196830433021879,0.020096562044191968,-0.10264688856226,0.9182432276649906,0.9458329430414466,40,0.2693438189138788,0.4765265568367675,0.42860979142060723,0.03190625875064131,-0.03064937851456262,1.0
Forbo,-0.000335535451906645,-0.0013414664544808552,-0.004889170762813075,0.004218099858999786,-0.019413726018134403,0.016979454151003548,-0.14442030517865267,0.8851685836753251,0.9478845302984876,40,0.21220947020067024,0.43455380498617024,0.6595106269378643,0.02559560403658051,-0.03164379749449511,1.0
Kring 2 - DB premie (Achmea),-0.0004158058658079258,-0.0016621863836557838,-0.006668055843227648,0.005836444111611796,-0.026406629509818202,0.023550957338410283,-0.13034739885438199,0.8962915810587031,0.9108815643401942,31,0.24934830357980714,0.4565619823484896,0.5416382356255363,0.0505492234423309,0.057719502094538584,1.0
Vopak,-0.0004434632537331657,-0.001772673405794678,-0.003929041115372967,0.003042114607906635,-0.015623782654814677,0.01222409789752521,-0.24936238416864626,0.8030804793286943,0.954342940850645,40,0.23409107707780946,0.2977319899305529,0.41988426460947254,0.0274873015846718,-0.026655086138178408,1.0
Notariaat,-0.0005036596203446954,-0.002013116954294958,-0.00427979996967803,0.0032724807289886385,-0.0170096129835674,0.013154317993057107,-0.2614189688465894,0.7937694304741459,0.9619582745552084,40,0.21565223522757357,0.5425765526307401,0.47725309807722816,0.005813805845302743,-0.034851531347247444,1.0
Huntsman Rozenburg,-0.0005739009396330983,-0.0022936283407779534,-0.003639594245940813,0.0024917923666746165,-0.014479089780309429,0.010004485566888155,-0.36690727349021574,0.7136881858133455,0.9668293724165292,40,0.2741336513870095,0.3244461852982682,0.39822307259553574,0.036439745616656694,-0.010000281228099206,1.0
KLM Algemeen,-0.0005741551687486914,-0.002294643507029903,-0.004960254621030311,0.0038119442835329287,-0.019693881294242543,0.015335184424821735,-0.25656587693185257,0.7975139196435098,0.9421472232935935,40,0.30680427755191375,0.15628106432104147,0.36412582753860623,0.07547486752330786,-0.07339978050896973,1.0
Dow,-0.0005901864219638618,-0.0023586565899530454,-0.004145896967871911,0.0029655241239441867,-0.016480741852399672,0.011914966892325518,-0.3253201058632071,0.7449388154853664,0.9436739626472723,40,0.09748752800532731,0.4319353267607974,0.47935665649959036,0.02643210766576233,-0.011194824750151613,1.0
Rockwool,-0.0006345776764586949,-0.0025358955948572293,-0.005166921176934666,0.003897765824017277,-0.02050805331503014,0.01568245586584882,-0.2744164009461195,0.7837646404778316,0.9365954783120952,40,0.22251820585816784,0.5753061991976209,0.2582794781901969,0.0029170224653972954,-0.053249601652113066,1.0
IBM Nederland,-0.0006655880558025947,-0.002659695357696057,-0.006993848148797246,0.0056626720371920555,-0.027683275116937023,0.02284381061826446,-0.20614333145965782,0.8366789519698117,0.8539671453863755,40,0.13285016138556502,0.4759016184255897,-0.10523617225150542,0.04301023517226141,-0.02194864804398214,1.0
Essity,-0.0007220738020842006,-0.0028851683705409803,-0.004671616362802677,0.003227468758634276,-0.018555928791687992,0.012972508946987205,-0.35832976211996687,0.7200965478866714,0.9495410176536191,40,0.26180583937580915,0.34248254198145794,0.5002007733668321,0.019652244219981657,0.04057174017472823,1.0
Wolters Kluwer Nederland,-0.0007237230764596415,-0.0028917511712882593,-0.0047348540218341995,0.0032874078689149166,-0.01880532712887195,0.013214616004162849,-0.35363372175050467,0.7236133990158997,0.9626499354784469,40,0.25230076358243825,0.4417166981875781,0.11294943040044775,0.0621637420318918,-0.1439122190325987,1.0
Schoonmaak- en Glazenwassersbedrijf,-0.00073544607326237,-0.0029385405983518575,-0.0044086157619284815,0.002937723615403742,-0.017518190053878002,0.011802777269143805,-0.39242614372359796,0.694743372168336,0.9657514733582085,40,0.23894784669710328,0.5082836629805874,0.10349296332632396,0.042654568681453495,-0.05751701496735791,1.0
