pair,fund_1,fund_2,alpha_quarterly,alpha_annualized,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
"Avery Dennison minus Schilders-, Afwerkings- en Glaszetbedrijf",Avery Dennison,"Schilders-, Afwerkings- en Glaszetbedrijf",0.0038560005017801826,0.01551344400289234,1.3118246665853368,0.18957930019743363,0.5716981096845137,39,-0.1542559365578815,0.25199785094406807,0.3130727092131957,-0.08107737877976261,-0.003853842362799986,1.0
BPF Foodservice minus Bibliotheken openbare,BPF Foodservice,Bibliotheken openbare,0.0023084822829471385,0.009265952911335251,1.0433255094033071,0.29679756041216965,0.7649454802826394,40,-0.15890125869490274,0.27544210422236526,0.24251480785046556,-0.012230717874098514,0.19713781708392925,1.0
BPF Foodservice minus Betonproduktenindustrie,BPF Foodservice,Betonproduktenindustrie,0.004877198883956344,0.019651982572437054,2.4801131434392096,0.013134069902486554,0.4809068920418299,40,-0.11789042353653642,-0.02284300605021764,0.24419038792426495,0.00509735224155719,0.24699134274645507,1.0
BPF Foodservice minus Beroepsvervoer over de Weg,BPF Foodservice,Beroepsvervoer over de Weg,0.0028143165051100648,0.011304877509313194,2.0369032163224587,0.04165974176538986,0.4143712822840282,40,-0.11029614045048633,0.023378279541801626,0.09372042599228772,0.026729523123645203,0.16914212480651897,1.0
BPF Foodservice minus Banden- en Wielenbranche,BPF Foodservice,Banden- en Wielenbranche,0.005506791387775694,0.022209782947343548,2.773730272282132,0.005541760472915297,0.42164708365828496,40,-0.06373476983881929,-0.14917432358119417,0.4514128742557862,-0.062335700019767334,0.014276307262360156,1.0
BPF Foodservice minus Bakkersbedrijf BPF,BPF Foodservice,Bakkersbedrijf BPF,0.005441926045621318,0.0219460370549851,2.3287733898539353,0.019871073822938005,0.6299311857743544,40,-0.14315905405584975,0.13578910960086632,0.4322428240183435,-0.010213816442756839,0.14571067086222994,1.0
BPF Foodservice minus BPL,BPF Foodservice,BPL,0.0013229448397617909,0.005302289721987208,0.5160483042112336,0.6058206724965192,0.7315270055250884,40,-0.1684548718572183,0.28460978228047507,0.4896814846172909,-0.058869122881496976,0.2201827666951334,1.0
Avery Dennison minus Zuivel en aanverwante industrie,Avery Dennison,Zuivel en aanverwante industrie,0.0022109728555622958,0.00887326508444164,1.2908905029513358,0.1967416490345758,0.4942559496374097,40,0.03820116585891015,-0.10723812017198654,-0.38627297056328225,0.11074933094462111,-0.04546682535888264,1.0
Avery Dennison minus Zorgverzekeraars,Avery Dennison,Zorgverzekeraars,0.001437581236538078,0.0057627366731438645,1.046064112427535,0.2955314329531953,0.5305499880530938,38,0.10513767516444161,0.07024743308817752,-0.044595905408274863,0.0005347010881721582,-0.07862414974324149,1.0
Avery Dennison minus Zorg en Welzijn,Avery Dennison,Zorg en Welzijn,0.003125793193625964,0.012561918531792449,1.3124047962650485,0.18938358945064082,0.6877463852236942,40,-0.048896923247050514,0.31320854612393617,0.04759731209496171,-0.05194006065971694,0.00947051489327946,1.0
Avery Dennison minus Zoetwarenindustrie,Avery Dennison,Zoetwarenindustrie,0.0017013597281182972,0.006822826369592194,0.8262955322034407,0.40863646730215,0.32185740359535875,40,-0.0410668488288967,0.12140954340458698,0.012417543421202173,-0.0069262357505700456,-0.01436052923078859,1.0
Avery Dennison minus YARA Nederland,Avery Dennison,YARA Nederland,0.004060937521646052,0.016342965519024144,1.5684468452929297,0.11677688580101984,0.7799022362581107,40,-0.08924325566914715,0.4721656401145539,0.1288469568636868,-0.0675552339510559,0.1485032089359289,1.0
Avery Dennison minus Woningcorporaties,Avery Dennison,Woningcorporaties,0.0036635575207607553,0.014734956869433269,1.403219310148196,0.16055145104462076,0.6196650044347249,40,-0.04710477423407364,0.2803125532826726,0.03962550916300489,-0.04753056874931937,-0.05038531236554903,1.0
Avery Dennison minus Wolters Kluwer Nederland,Avery Dennison,Wolters Kluwer Nederland,0.002149486494325902,0.00862570747680902,1.1420713989604554,0.2534243427753696,0.5407402938214265,40,-0.024023775331091797,0.15621911761307855,0.3280783917990233,-0.03718381195668723,0.09890176205269617,1.0
Avery Dennison minus Witteveen & Bos,Avery Dennison,Witteveen & Bos,0.002618004321191413,0.010513212786144477,1.1108692500494286,0.2666246331461557,0.2714403190046717,40,-0.0315583051769276,0.03660787061062461,0.385009634245207,-0.015393152129473842,0.0075309813528004095,1.0
Avery Dennison minus Werk en (re)Integratie,Avery Dennison,Werk en (re)Integratie,0.0030447060560270353,0.012234558620413116,1.3703532912046532,0.17057664516360915,0.7815311842612789,40,-0.11403645446353586,0.41275053383289917,0.12045855994493328,-0.03256950694866282,0.1385303596634057,1.0
Avery Dennison minus Waterbouw BPF,Avery Dennison,Waterbouw BPF,0.00047451583960976816,0.001899414777559949,0.15853403371897315,0.8740360047197744,0.7534937780285647,39,-0.14239320971254774,0.43306955874727937,0.09625115058449808,0.004926679095599041,0.17750974996918661,1.0
BPF Foodservice minus Detailhandel,BPF Foodservice,Detailhandel,5.410027246934132e-05,0.00021641865154808926,0.040510905171300474,0.9676858131100933,0.16151487198074932,40,-0.08886051590789293,-0.04300596573096441,0.2234393371814054,0.007975990678624274,0.11205655744105757,1.0
BPF Foodservice minus Delta Lloyd,BPF Foodservice,Delta Lloyd,0.0030708354004188344,0.012340037703219675,1.7361684865470026,0.08253404761497575,0.3124949425442184,32,-0.0016623122962529692,0.036447219405273915,0.07586276097212852,0.02127692242381589,0.014168778162322574,1.0
BPF Foodservice minus DHL Nederland,BPF Foodservice,DHL Nederland,0.0036659908104331954,0.014744797430253254,1.365466850171766,0.1721063652471082,0.8449836555653124,40,-0.17233293665369975,0.344888627170449,0.4043256244767503,-0.019936968672504864,0.1724072760870921,1.0
BPF Foodservice minus Cosun,BPF Foodservice,Cosun,0.004907132823334149,0.01977348424255765,2.197102465771975,0.028013129061700715,0.7937481371602395,40,-0.03238308104651223,0.3234180746294959,0.05720633014216647,-0.02339867404129718,0.17864113941436804,1.0
BPF Foodservice minus Coram,BPF Foodservice,Coram,0.006572322484730424,0.026549599918821443,2.838861019860536,0.004527487155575857,0.8506449210156252,39,-0.22091393798418957,0.3198590962943484,0.07032610693788056,-0.006287889224226911,0.39869878694281735,1.0
