fund,year,return_type,dnb_compounded_annual_return,n_quarters,quarters_present,annual_sample_status,official_annual_return,source,source_url,notes,difference,difference_pp,reconciliation_status
Beroepsvervoer over de Weg,2017,return_quarterly,0.04840578919999983,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2018,return_quarterly,-0.012360556300000103,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2019,return_quarterly,0.23878429438399995,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2020,return_quarterly,0.1449915986599999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2021,return_quarterly,0.007110494599999795,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2022,return_quarterly,-0.28968847360000005,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2023,return_quarterly,0.1002463966879994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2024,return_quarterly,0.0887930899999998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2015,return_quarterly,-0.012433242550000112,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2016,return_quarterly,0.13020767428399993,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2017,return_quarterly,0.04849689245599964,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2018,return_quarterly,-0.015291975700000071,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2019,return_quarterly,0.19831307724799996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2020,return_quarterly,0.14799231260000023,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2021,return_quarterly,0.013523839999999954,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2022,return_quarterly,-0.31901141708799996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2023,return_quarterly,0.09062968784000014,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Betonproduktenindustrie,2024,return_quarterly,0.08089321002499972,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2015,return_quarterly,0.018634456175000036,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2016,return_quarterly,0.10936986565999973,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2017,return_quarterly,0.04976986399999972,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2018,return_quarterly,-0.005515696000000014,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2019,return_quarterly,0.18048897966999955,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2020,return_quarterly,0.0852624458000002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2021,return_quarterly,0.055487391200000014,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2022,return_quarterly,-0.21019829567199988,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2023,return_quarterly,0.11790694735999985,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bibliotheken openbare,2024,return_quarterly,0.10326539967999993,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2015,return_quarterly,0.010758323119999913,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2016,return_quarterly,0.09357520420499976,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2017,return_quarterly,0.04971291199999972,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2018,return_quarterly,0.0023661331600000057,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2019,return_quarterly,0.1555145463680001,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2020,return_quarterly,0.10227229839999996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2021,return_quarterly,0.04408877671999978,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2022,return_quarterly,-0.18212697359199992,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2023,return_quarterly,0.08825475044999997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bisdommen,2024,return_quarterly,0.0702882735999999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2015,return_quarterly,-0.02077739200000006,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2016,return_quarterly,0.11968589553599984,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2017,return_quarterly,0.048557077399999926,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2018,return_quarterly,0.007708781984999691,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2019,return_quarterly,0.17540412780800008,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2020,return_quarterly,0.1119794171199997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2021,return_quarterly,0.009245292343999845,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2022,return_quarterly,-0.25873328742400004,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2023,return_quarterly,0.09315054244499965,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwmaterialen,2024,return_quarterly,0.08026185409999997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2015,return_quarterly,0.010154780479999959,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2016,return_quarterly,0.12126963815999958,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2017,return_quarterly,0.06299232203999994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2018,return_quarterly,0.002338133411999843,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2019,return_quarterly,0.13359202189999975,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2020,return_quarterly,0.07355548,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2021,return_quarterly,0.0991834478239999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2022,return_quarterly,-0.21393160024000002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2023,return_quarterly,0.07835913364399949,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bouwnijverheid,2024,return_quarterly,0.07497669650000005,4,"1,2,3,4",complete_year,,,,,,,no_official_return
British American Tobacco,2015,return_quarterly,0.014488680379999952,4,"1,2,3,4",complete_year,,,,,,,no_official_return
British American Tobacco,2016,return_quarterly,0.06169622966400001,4,"1,2,3,4",complete_year,,,,,,,no_official_return
