fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
ING Bank CDC fonds,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.40832555724513825,0.7025470153014126,-0.016877046983004323,0.2185671917934946,0.16203388336464025,0.027724482087003385,0.7025470153014126,-0.016877046983004323,0.1938082602809218,0.1436789519221769,0.02458389841760155,0.6229636464825256,0.014965242896774058,0.0022992075766434805,1.0,0.9608951133720471,40,equity (positief),0.026072569581546863,0.0016231820435510115,0.0010986332455308792,0.0009472521202996658,-0.00020584162518531867
Personeelsdiensten,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.3994884581558605,0.35472326122342474,-0.05286554189298944,0.05114855417129274,0.37215791829793404,-0.02381801431336634,0.35472326122342474,-0.05286554189298944,0.06155836442232945,0.44789990896942516,0.0,0.42691693122626634,0.06362479538197897,-0.01216370632405972,1.0,0.9480776796921777,40,equity (positief),0.006101438311411939,0.000819561417965304,0.002523330633936404,-0.0008137812814270913,-0.0006447768422114316
Bisdommen,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.39604262849135163,0.40470378896478854,-0.01197986886007843,0.2264480858793691,0.1348781334973242,0.034716409114658356,0.40470378896478854,-0.01197986886007843,0.2786277369048475,0.16595763637555744,0.04271599147114428,0.4979582865458407,0.01474034870261014,0.0060950500693526255,1.0,0.958601957919748,40,equity (positief),0.027012670233125438,0.0009350376685080224,0.0009145099683986795,0.00118614270376097,-0.00014611298280728992
Pensioenkring Randstad (Hnp),laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.39131471435062853,0.7172170227955174,0.018284147454039834,0.0383336633663031,0.37421860293143494,-0.021237551947109523,0.7172170227955174,0.018284147454039834,0.033390138599810645,0.32595922020570395,0.0,0.6247244248077044,0.01592621638678105,0.007597223504662853,1.0,0.9501157885540852,20,equity (positief),0.004572768205659305,0.0016570759926029103,0.0025373026291753502,-0.0007256155786334541,0.00022300338624746732
Schoonmaak- en Glazenwassersbedrijf,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.38509537870488075,0.5082836629805874,-0.05751701496735791,0.23894784669710328,0.10349296332632396,0.042654568681453495,0.5082836629805874,-0.05751701496735791,0.2512870308224904,0.10883730414302206,0.04485723584930877,0.5345312554662982,0.06048717371888048,-0.0029385405983518575,1.0,0.9657514733582085,40,equity (positief),0.02850374893070501,0.0011743511776595608,0.000701710085741362,0.0014573628642432,-0.0007015087324584606
Pensioenkring Sweco (Hnp),laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.3726986530301283,0.435060274415749,-0.07746791308823495,0.10896409278810015,0.22752835294175436,0.03620620730027378,0.435060274415749,-0.07746791308823495,0.12309171818870218,0.2570283033944976,0.0409004852117095,0.49146755892902,0.0875119342760707,0.0016463661407881691,1.0,0.9546102802596437,18,equity (positief),0.012998171719166628,0.0010051740451719764,0.0015427033386601198,0.0012370440870839916,-0.0009448407144837309
PDN,laag risky/defensiever,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.366816825316424,0.24761498234417081,-0.06199848813596438,0.25360765429882554,0.026687001289210532,0.08652216972838793,0.24761498234417081,-0.06199848813596438,0.374920602868887,0.03945269964259085,0.12790995652626716,0.3660613427324116,0.09165539822984338,-0.0032319259668887046,1.0,0.9403877145330999,40,equity (positief),0.030252496538301664,0.000572095794731719,0.00018094503588408285,0.002956170956447307,-0.0007561672115857223
Kring equensWorldline (Achmea),laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.3623011803415847,0.6148024469138251,-0.03458247868697989,0.0244691538476966,0.33774438658725814,8.763990662996601e-05,0.6148024469138251,-0.03458247868697989,0.024186507755687207,0.33384306120587454,8.66275676963351e-05,0.6077007910878979,0.03418301238284395,0.019611565730377922,1.0,0.9379407047649746,20,equity (positief),0.0029188905757567287,0.0014204548171535564,0.002289997646733986,2.9943602595561775e-06,-0.00042178668004142763
Kring RBS (Achmea),laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.3574622819848152,0.5207175421662869,-0.025876277532311726,0.2206565800726058,0.054467754160493265,0.08233794775171616,0.5207175421662869,-0.025876277532311726,0.24407399016690257,0.06024820147673426,0.0910761484806057,0.5759792353557213,0.028622424520036247,0.003761891494306724,1.0,0.9281341926686452,32,equity (positief),0.02632180973896932,0.0012030787204237291,0.00036930600123590777,0.0028132101924998065,-0.0003156011253841533
Witteveen & Bos,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.35622152863387035,0.5613287930249046,-0.05254275944576772,0.25983616007506233,0.05601181257199017,0.04037355598681785,0.5613287930249046,-0.05254275944576772,0.2678466274382808,0.057738596082156805,0.041618228985664696,0.5786339516882016,0.054162595805696115,-0.004760505378945901,1.0,0.9246276694262684,40,equity (positief),0.030995486137552368,0.0012969079613487262,0.0003797751319429379,0.0013794283475714907,-0.0006408400122918181
Rabobankorganisatie,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.3523140106763681,0.5594564352400806,-0.22979232082641093,0.23866431080022985,0.11482312774320813,-0.0011734278670699448,0.5594564352400806,-0.22979232082641093,0.20885337484361155,0.10048087063734142,0.0,0.48957619254464046,0.20108956197440656,-0.010399402250840684,1.0,0.9112973096112026,40,equity (positief),0.028469926336657667,0.0012925820194982362,0.000778531643351678,-4.0092075718946644e-05,-0.0028026718668051277
Heineken,laag risky/defensiever,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.33991804079056454,0.15340708782210605,0.06614917023339989,0.33194122409453847,-0.085924966547357,0.09390178324338307,0.15340708782210605,0.06614917023339989,0.5143191848726247,0.0,0.14549409687682505,0.23769331024662843,0.10249340800392168,0.0004262797276943786,1.0,0.8998288481108347,40,equity (positief),0.03959679671579276,0.0003544355393773387,-0.0005825943494646591,0.00320830748066206,0.0008067911832689274
NN CDC fonds,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.32254170581405456,0.7692643584123544,-0.045025321752851136,0.24532540897143323,0.0633518918301707,0.013864405012450613,0.7692643584123544,-0.045025321752851136,0.21579753338716218,0.055726726594199145,0.012195656438978322,0.6766741030374654,0.03960598054219499,-0.0007710838974522849,1.0,0.9618866422479349,40,equity (positief),0.029264519267706086,0.0017773274473068743,0.0004295428405876876,0.0004736999956761556,-0.0005491532620269405
Mars,laag risky/defensiever,laag durationprofiel,"negatieve alpha-puntinschatting, niet significant na Holm",0.3155442700029476,0.2626517933232858,0.16877944926765276,0.29341385243579615,-0.01774661652788051,0.03987703409503199,0.2626517933232858,0.16877944926765276,0.38368688607555107,0.0,0.05214578286210725,0.3434604326475084,0.22070689841483324,-0.026399700388125225,1.0,0.8344356753782555,40,equity (positief),0.035000921323315067,0.0006068372156501449,-0.00012032682614500637,0.0013624638678277974,0.0020585257699479494
Samenwerking / Slagersbedrijf,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.3129011608394674,0.44279274983582007,0.03837612332860274,0.1988248568038451,0.05870741313153066,0.05536889090409165,0.44279274983582007,0.03837612332860274,0.2503870544029005,0.07393228634445995,0.06972796923831583,0.557624303744537,0.0483283862697868,0.007291586801511762,1.0,0.9289860028288505,40,equity (positief),0.023717534507453165,0.0010230393481064342,0.00039805202767540844,0.0018917684068164536,0.0004680560291280067
Mercer,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.29407512012679604,0.8048820296012942,0.28085942126300256,0.12869873961323186,0.12188213142522805,0.043494249088336115,0.8048820296012942,0.28085942126300256,0.09327235396280992,0.0883321261591189,0.03152176166220059,0.5833253828972097,0.2035483753186608,0.005083993824632538,1.0,0.9031612538296752,40,equity (positief),0.015352289683044928,0.0018596193979490492,0.0008263935841035365,0.001486051913989832,0.003425513940892825
British American Tobacco,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.1941345147859843,0.3179496527165741,-0.06836297471411393,0.2167606287867859,-0.07667883159033408,0.05405271758953252,0.3179496527165741,-0.06836297471411393,0.3298616055776956,0.0,0.08225624879257543,0.4838488591077269,0.10403328652200207,-0.0035161328460963093,1.0,0.8941304379670025,40,equity (positief),0.025857067248788872,0.0007345987610827808,-0.0005199030712855708,0.0018467992002146672,-0.0008337919442795244
Nedlloyd,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.16727317358144458,0.347228143166856,0.04897972605865496,0.15019259267811463,-0.02962259838753894,0.046703179290868896,0.347228143166856,0.04897972605865496,0.25323161458869287,0.0,0.07874370691235341,0.5854426090987201,0.08258206940023353,-0.010897159972204307,1.0,0.926500743537924,39,equity (positief),0.017916260858275905,0.0008022445113686718,-0.00020084917260374487,0.0015956902447872806,0.0005973833232317344
ING,laag risky/defensiever,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.1462974550049201,0.6022470705130445,0.05737625439848727,0.15074636896071777,-0.06774110310683945,0.06329218915104179,0.6022470705130445,0.05737625439848727,0.17254543421198903,0.0,0.07244471846708055,0.6893365525218741,0.06567329479905633,-0.0004677830171917474,1.0,0.9181760354676433,39,equity (positief),0.017982320043747904,0.0013914465642111853,-0.0004593028718235965,0.002162480806082822,0.0006997919401613532
IBM Nederland,laag risky/defensiever,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.07062422430632101,0.4759016184255897,-0.02194864804398214,0.13285016138556502,-0.10523617225150542,0.04301023517226141,0.4759016184255897,-0.02194864804398214,0.19719171548894174,0.0,0.06384081109684363,0.7063887281924108,0.032578745221803825,-0.002659695357696057,1.0,0.8539671453863755,40,equity (positief),0.01584750688437023,0.0010995348990186355,-0.0007135295104156485,0.0014695147896238105,-0.0002676976243855665
