fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
PGB,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8133835258668756,0.30926020970989515,-0.15769718592053322,0.31480752265361833,0.42942414089967573,0.06915186231358154,0.30926020970989515,-0.15769718592053322,0.24587788874658822,0.3353982784503073,0.05401050700832979,0.24154520449774314,0.12316812129703167,-0.009844000796970453,1.0,0.9609757732219829,40,equity (positief),0.03755294182914579,0.0007145224565085597,0.002911611002769277,0.0023626860907139395,-0.0019233604711607858
Pensioenkring OWASE (Hnp),hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8124156736401918,0.28355900652540866,-0.2606359614498224,0.3051715994303229,0.48072587107856257,0.02651820313130636,0.28355900652540866,-0.2606359614498224,0.2249515005034393,0.35435802752227014,0.019547394305951375,0.20902018444124298,0.19212289322709622,-0.004349419978882607,1.0,0.9789675240197693,20,equity (positief),0.036403486246813097,0.0006551417594191037,0.0032594505111327447,0.000906037633591814,-0.0031788576485327286
Kring 4 - Koopkracht (Achmea),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8118522888610266,0.3667125928713888,0.0174950538996477,0.26866611233863763,0.4912230997014235,0.0519630768209655,0.3667125928713888,0.0174950538996477,0.2246259609027535,0.41070107363962044,0.0434452114588266,0.3066005155315214,0.014627238467278285,-0.0031098135649409997,1.0,0.9217018974324076,31,equity (positief),0.03204879858991402,0.0008472618670758932,0.003330624540363782,0.0017754032173256799,0.00021337917296993683
Hoogovens,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8046749648571694,0.11317049155145854,-0.11973358540272062,0.31527542434204825,0.4525423956371458,0.03685714487797537,0.11317049155145854,-0.11973358540272062,0.3038567777850039,0.4361522133746284,0.03552225266003078,0.10907168224397797,0.11539707393635891,0.0017927145341332107,1.0,0.9571658290234768,40,equity (positief),0.037608757156363054,0.0002614719097018127,0.003068358978598998,0.0012592844304283892,-0.0014603357941339239
"Metalektro, bedrijfstakpensioenfonds",hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.800204764676823,0.36023489826649313,-0.08715257702906049,0.26250068065396825,0.5334411687560043,0.0042629152668503915,0.36023489826649313,-0.08715257702906049,0.21040582992066414,0.4275765363591998,0.0034169139004461735,0.2887440998145911,0.06985662000509892,-0.0030440287689998957,1.0,0.9583089612473912,40,equity (positief),0.031313333009376686,0.0008322956408486522,0.0036168743867684545,0.00014564944847336928,-0.001062960132351128
Kring HPE (Achmea),hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7983699469727594,0.26497357826633766,-0.20718480450406815,0.2167106171536894,0.5906791893125495,-0.009019859493479334,0.26497357826633766,-0.20718480450406815,0.1693649516107518,0.46163106187109537,0.0,0.20708370383800562,0.16192028268014735,-0.014466024907772268,0.41989411591869324,0.9924594652346771,13,equity (positief),0.02585110143217616,0.0006122015251503881,0.004004963538160867,-0.00030817820160502265,-0.00252693832728954
CRH,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7890382999372951,0.3169949598316297,-0.24770527163892408,0.3249925611604137,0.4373359414460204,0.02670979733086099,0.3169949598316297,-0.24770527163892408,0.24007040770452978,0.32305791059312144,0.019730396019003442,0.23416261890836784,0.1829786667749774,-0.014044756361,1.0,0.9602717774142974,40,equity (positief),0.03876790059299381,0.0007323930149701411,0.0029652551352910093,0.000912583761710482,-0.003021147937341966
Smurfit Kappa Nederland,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.785650585956943,0.3140315859288725,-0.08300905267902015,0.3258950125863372,0.4300612580092409,0.029694315361365003,0.3140315859288725,-0.08300905267902015,0.27555375893335843,0.3636293641795469,0.025107411591973938,0.26552288493086484,0.07018658036425598,-0.0103603193526427,1.0,0.9381310857510267,40,equity (positief),0.03887555274061616,0.000725546362429429,0.0029159308278782618,0.001014554684867701,-0.0010124234604400911
Metaal en Techniek,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.782791980827596,0.4523884524169202,-0.035497623589795524,0.21564231049172417,0.5276208719813535,0.03952879835451824,0.4523884524169202,-0.035497623589795524,0.16970648806902514,0.41522781411354137,0.031108429190158386,0.3560212990094223,0.027935969617852767,-0.004105272507687441,1.0,0.9537553576926067,40,equity (positief),0.025723664649235586,0.001045209497271776,0.0035774112115195,0.0013505658261428128,-0.00043294828397992053
Essity,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7816588569626229,0.34248254198145794,0.04057174017472823,0.26180583937580915,0.5002007733668321,0.019652244219981657,0.34248254198145794,0.04057174017472823,0.22478139087010252,0.4294626346752391,0.016873033848360308,0.2940488352699198,0.034834105336378124,-0.0028851683705409803,1.0,0.9495410176536191,40,equity (positief),0.031230446381130803,0.0007912801567244666,0.003391495578886934,0.0006714509561479262,0.0004948349638756471
